lat,lon
0.000000,0.000000
0.000000,6.000000
0.000000,12.000000
0.000000,18.000000
0.000000,24.000000
0.000000,30.000000
0.000000,36.000000
0.000000,42.000000
0.000000,48.000000
0.000000,54.000000
0.000000,60.000000
0.000000,66.000000
0.000000,72.000000
0.000000,78.000000
0.000000,84.000000
0.000000,90.000000
0.000000,96.000000
0.000000,102.000000
0.000000,108.000000
0.000000,114.000000
0.000000,120.000000
0.000000,126.000000
0.000000,132.000000
0.000000,138.000000
0.000000,144.000000
0.000000,150.000000
0.000000,156.000000
0.000000,162.000000
0.000000,168.000000
0.000000,174.000000
0.000000,180.000000
0.000000,186.000000
0.000000,192.000000
0.000000,198.000000
0.000000,204.000000
0.000000,210.000000
0.000000,216.000000
0.000000,222.000000
0.000000,228.000000
0.000000,234.000000
0.000000,240.000000
0.000000,246.000000
0.000000,252.000000
0.000000,258.000000
0.000000,264.000000
0.000000,270.000000
0.000000,276.000000
0.000000,282.000000
0.000000,288.000000
0.000000,294.000000
0.000000,300.000000
0.000000,306.000000
0.000000,312.000000
0.000000,318.000000
0.000000,324.000000
0.000000,330.000000
0.000000,336.000000
0.000000,342.000000
0.000000,348.000000
0.000000,354.000000
