elevation,temperature,speed,fuel,battery
653,292,28.3,80,80
655,297,28.8,79,80
643,286,29.0,81,81
637,290,29.1,80,81
639,297,29.4,81,80
650,294,26.8,80,79
665,290,26.8,79,79
653,286,29.0,79,80
648,297,27.0,80,81
663,297,28.7,80,80
640,283,28.5,79,81
650,293,27.2,80,80
634,297,27.8,81,80
665,290,29.0,81,79
650,294,29.3,81,80
663,290,28.5,79,81
639,290,29.4,80,81
657,295,29.0,81,80
635,296,29.2,81,81
660,297,28.3,79,81
661,291,26.8,80,79
643,290,27.3,80,79
654,295,28.9,81,80
644,292,29.2,80,81
652,292,28.1,79,80
647,292,28.8,81,81
641,283,27.5,81,80
650,286,28.2,80,79
648,285,28.0,79,80
635,294,29.1,79,81
650,284,28.9,80,80
647,290,27.1,79,80
636,295,29.4,80,80
644,284,28.8,79,80
649,286,27.0,81,81
666,294,28.3,80,80
665,288,28.0,80,80
649,288,26.8,80,81
640,291,26.9,80,80
657,289,27.2,81,80
645,288,27.5,80,80
656,285,27.9,80,80
666,284,27.6,79,80
636,291,29.4,79,80
652,290,27.6,80,81
647,286,28.7,79,79
656,297,29.1,80,81
637,296,26.7,81,80
641,284,29.2,80,80
644,293,28.4,81,81
657,289,27.3,80,80
650,293,26.7,80,81
646,285,27.2,81,81
648,292,29.3,79,79
650,290,27.5,79,80
662,296,27.3,79,80
644,293,27.8,81,79
650,295,29.4,81,80
652,296,28.9,80,81
643,290,28.3,81,81
