elevation,temperature,speed,fuel,battery
683,402,32.2,79,82
675,377,22.8,79,77
770,416,23.2,84,76
806,376,29.2,78,80
735,377,24.6,80,79
737,353,29.5,84,82
682,310,27.9,83,80
872,380,28.5,78,78
749,357,23.9,82,80
753,299,27.2,83,80
720,301,27.6,78,81
753,407,25.2,81,76
777,395,29.4,76,80
669,335,23.7,80,76
722,350,25.0,77,77
704,415,25.1,78,82
825,329,29.6,84,78
688,402,25.6,76,79
840,302,22.4,81,79
662,350,29.8,79,82
660,337,25.5,84,84
610,286,24.7,80,81
678,294,26.3,80,79
704,391,28.6,84,80
882,358,27.5,83,80
671,349,32.5,82,79
807,365,23.0,80,81
838,319,24.9,78,78
615,318,23.7,77,83
649,298,33.4,81,83
625,419,31.0,82,84
827,352,30.4,79,84
854,365,22.4,79,78
609,382,24.9,80,81
601,288,31.5,76,78
716,396,32.6,81,79
849,378,31.9,77,83
842,366,25.9,82,82
763,282,30.0,79,81
766,283,26.5,76,84
622,280,26.3,77,78
878,384,23.6,80,81
879,416,22.5,81,80
650,297,31.7,82,79
740,358,23.8,80,78
788,350,33.1,80,82
713,410,31.0,80,77
781,360,29.1,80,78
826,311,29.9,79,84
749,287,32.1,79,80
863,334,22.6,81,78
808,299,24.8,76,78
798,397,28.9,81,79
675,388,23.3,83,84
843,292,29.4,80,77
695,280,22.8,79,84
884,319,28.0,77,80
844,347,23.3,83,77
880,365,30.6,80,77
674,410,30.4,78,76
